source,target,total
Owen Lars,C-3PO,8
Padme Amidala,Owen Lars,5
C-3P0,Beru Lars,5
C-3PO,Beru Lars,5
Padme Amidala,Beru Lars,4
Beru Lars,Tusken Raider,1
Tusken Raider,Cliegg Lars,1
Anakin Skywalker,Jawa,1
C-3P0,Padme,4
Padme,C-3PO,4
Tusken Raider,Bespin Guards,1
Darth Vader,Mace Windu,2
Mace Windu,Ask Aak,1
Mace Windu,Jango Fett,3
Yoda,Darth Vader,7
Yoda,Ask Aak,1
Queen,Jango Fett,1
Darth Vader,Mas Amedda,3
Darth Vader,Ask Aak,1
Darth Vader,Count Dooku,1
Darth Vader,Jar Jar Binks,1
Darth Vader,Bail Organa,2
Darth Vader,Jango Fett,1
Darth Vader,Padme,1
Obi-Wan Kenobi,Ask Aak,1
Jango Fett,Mas Amedda,1
Count Dooku,Ask Aak,1
Ask Aak,Bail Organa,1
Jango Fett,Ask Aak,1
Jango Fett,Jar Jar Binks,1
Jango Fett,Bail Organa,1
Padme,Jango Fett,1
Palpatine,Jango Fett,2
Owen Lars,Padme,1
Padme,Beru Lars,1
Count Dooku,C-3P0,4
Count Dooku,C-3PO,4
Count Dooku,R2-D2,5
C-3P0,Obi-Wan Kenobi,20
Obi-Wan Kenobi,C-3PO,20
R2-D2,Cliegg Lars,1
R2-D2,Owen Lars,3
R2-D2,Beru Lars,3
C-3P0,Mace Windu,3
C-3PO,Mace Windu,3
R2-D2,Mace Windu,3
Count Dooku,Geonosian,5
Geonosian,Anakin Skywalker,6
Geonosian,Queen,1
Geonosian,Padme Amidala,6
Geonosian,Padme,1
Anakin Skywalker,Jango Fett,4
Boba Fett,Anakin Skywalker,8
Jango Fett,Bespin Guards,1
Boba Fett,Bespin Guards,2
Padme Amidala,Jango Fett,4
Boba Fett,Padme Amidala,5
Boba Fett,Palpatine,2
Poggle the Lesser,Passel Argente,1
Poggle the Lesser,Anakin Skywalker,2
Poggle the Lesser,Bespin Guards,1
Poggle the Lesser,Wat Tambor,1
Poggle the Lesser,Geonosian,2
Poggle the Lesser,Sun Rit,2
Poggle the Lesser,Tessek,1
Poggle the Lesser,San Hill,1
Poggle the Lesser,Toonbuck Toora,1
Poggle the Lesser,Count Dooku,2
Poggle the Lesser,Shu Mai,1
Poggle the Lesser,Padme Amidala,2
Poggle the Lesser,Nute Gunray,2
Passel Argente,Anakin Skywalker,1
Passel Argente,Bespin Guards,1
Passel Argente,Wat Tambor,2
Geonosian,Passel Argente,1
Sun Rit,Passel Argente,1
Tessek,Passel Argente,1
Passel Argente,San Hill,1
Passel Argente,Toonbuck Toora,1
Count Dooku,Passel Argente,2
Passel Argente,Shu Mai,2
Padme Amidala,Passel Argente,1
Passel Argente,Nute Gunray,2
Anakin Skywalker,Wat Tambor,3
Sun Rit,Anakin Skywalker,2
Tessek,Anakin Skywalker,1
San Hill,Anakin Skywalker,1
Toonbuck Toora,Anakin Skywalker,1
Anakin Skywalker,Shu Mai,3
Bespin Guards,Wat Tambor,2
Geonosian,Bespin Guards,1
Sun Rit,Bespin Guards,1
Tessek,Bespin Guards,1
San Hill,Bespin Guards,1
Toonbuck Toora,Bespin Guards,1
Bespin Guards,Shu Mai,2
Geonosian,Wat Tambor,1
Sun Rit,Wat Tambor,1
Tessek,Wat Tambor,1
San Hill,Wat Tambor,1
Toonbuck Toora,Wat Tambor,1
Count Dooku,Wat Tambor,2
Shu Mai,Wat Tambor,4
Padme Amidala,Wat Tambor,1
Nute Gunray,Wat Tambor,4
Geonosian,Sun Rit,2
Geonosian,Tessek,1
Geonosian,San Hill,1
Geonosian,Toonbuck Toora,1
Geonosian,Shu Mai,1
Geonosian,Nute Gunray,2
Tessek,Sun Rit,1
Sun Rit,San Hill,1
Sun Rit,Toonbuck Toora,1
Count Dooku,Sun Rit,2
Sun Rit,Shu Mai,1
Sun Rit,Padme Amidala,2
Sun Rit,Nute Gunray,2
Tessek,San Hill,1
Tessek,Toonbuck Toora,1
Tessek,Count Dooku,1
Tessek,Shu Mai,1
Tessek,Padme Amidala,1
Tessek,Nute Gunray,1
San Hill,Toonbuck Toora,1
Count Dooku,San Hill,1
San Hill,Shu Mai,1
Padme Amidala,San Hill,1
San Hill,Nute Gunray,1
Count Dooku,Toonbuck Toora,1
Toonbuck Toora,Shu Mai,1
Padme Amidala,Toonbuck Toora,1
Toonbuck Toora,Nute Gunray,1
Count Dooku,Shu Mai,2
Padme Amidala,Shu Mai,1
Nute Gunray,Shu Mai,4
Poggle the Lesser,Boba Fett,1
Poggle the Lesser,Obi-Wan Kenobi,1
Poggle the Lesser,Jango Fett,1
Geonosian,Boba Fett,4
Geonosian,Obi-Wan Kenobi,4
Geonosian,Jango Fett,3
Boba Fett,Sun Rit,1
Boba Fett,Nute Gunray,1
Sun Rit,Obi-Wan Kenobi,1
Sun Rit,Jango Fett,1
Nute Gunray,Jango Fett,1
Stormtrooper,Mace Windu,1
Geonosian,Stormtrooper,1
Stormtrooper,Boba Fett,1
Count Dooku,Stormtrooper,2
Stormtrooper,Jango Fett,1
Geonosian,Mace Windu,3
Boba Fett,Mace Windu,3
Battle Droid,Mace Windu,4
Geonosian,Battle Droid,3
Boba Fett,Battle Droid,3
Count Dooku,Battle Droid,8
Battle Droid,Jango Fett,2
Battle Droid,Plo Koon,1
Clone Troopers,Mace Windu,2
Clone Troopers,Anakin Skywalker,10
Yoda,Geonosian,1
Yoda,Clone Troopers,8
Geonosian,Clone Troopers,1
Clone Troopers,Battle Droid,12
Count Dooku,Clone Troopers,4
Padme Amidala,Clone Troopers,2
Count Dooku,Rebel Pilot,1
Rebel Pilot,Clone Troopers,2
Count Dooku,Republic Captain,2
Clone Troopers,Republic Captain,3
Yoda,Republic Captain,2
Stormtrooper,Bail Organa,2
R2-D2,R4-D17,2
Obi-Wan Kenobi,R4-D17,2
Anakin Skywalker,R4-D17,2
Odd Ball,Red Leader,1
Odd Ball,Wedge Antilles,1
Odd Ball,Anakin Skywalker,2
Odd Ball,Obi-Wan Kenobi,2
Red Leader,Wedge Antilles,42
Red Leader,Anakin Skywalker,2
Red Leader,Obi-Wan Kenobi,2
Wedge Antilles,Anakin Skywalker,2
Obi-Wan Kenobi,Wedge Antilles,2
Anakin Skywalker,Clone Pilot,1
Anakin Skywalker,Buzz Droid,1
R2-D2,Clone Troopers,1
R2-D2,Clone Pilot,1
Odd Ball,R2-D2,1
R2-D2,Buzz Droid,1
Battle Droid,Clone Pilot,1
Odd Ball,Battle Droid,1
Battle Droid,Buzz Droid,1
Battle Droid,R4-D17,1
Obi-Wan Kenobi,Clone Pilot,1
Obi-Wan Kenobi,Buzz Droid,1
Clone Troopers,Clone Pilot,1
Odd Ball,Clone Troopers,1
Clone Troopers,Buzz Droid,1
Clone Troopers,R4-D17,1
Odd Ball,Clone Pilot,1
Rebel Pilot,Clone Pilot,2
Clone Pilot,Buzz Droid,1
Clone Pilot,R4-D17,1
Odd Ball,Rebel Pilot,1
Odd Ball,Buzz Droid,1
Odd Ball,R4-D17,1
Rebel Pilot,Buzz Droid,1
Rebel Pilot,R4-D17,1
R4-D17,Buzz Droid,1
Count Dooku,General Grievous,5
Republic Captain,General Grievous,1
Obi-Wan Kenobi,General Grievous,15
General Grievous,Anakin Skywalker,8
Count Dooku,Luke Skywalker,1
Palpatine,Luke Skywalker,6
Rebel Pilot,General Grievous,3
General Grievous,Bodyguard,4
Destroyer Droids,Count Dooku,1
Anakin Skywalker,Bodyguard,1
R2-D2,General Grievous,2
Battle Droid,General Grievous,6
Palpatine,General Grievous,8
R2-D2,Bodyguard,1
Battle Droid,Bodyguard,2
Obi-Wan Kenobi,Bodyguard,2
Rebel Pilot,Bodyguard,1
Palpatine,Bodyguard,1
Rebel Pilot,Palpatine,4
General Grievous,Mace Windu,4
Anakin Skywalker,Bail Organa,4
C-3P0,General Grievous,1
C-3PO,General Grievous,1
General Grievous,Jar Jar Binks,1
General Grievous,Bail Organa,1
R2-D2,Bail Organa,6
C-3P0,Bail Organa,6
C-3P0,Palpatine,3
C-3PO,Bail Organa,6
Palpatine,C-3PO,3
Padme Amidala,Bail Organa,8
Master Vos,Obi-Wan Kenobi,1
Master Vos,Anakin Skywalker,1
Fang Zar,Queen,2
Fang Zar,Mon Mothma,2
Fang Zar,Terr Taneel,1
Fang Zar,Bail Organa,2
Fang Zar,Padme Amidala,3
Fang Zar,Palpatine,2
Fang Zar,Giddean Danu,2
Queen,Mon Mothma,1
Queen,Terr Taneel,1
Queen,Giddean Danu,1
Mon Mothma,Terr Taneel,1
Mon Mothma,Bail Organa,3
Mon Mothma,Padme Amidala,2
Mon Mothma,Palpatine,2
Mon Mothma,Giddean Danu,2
Terr Taneel,Bail Organa,1
Padme Amidala,Terr Taneel,1
Palpatine,Terr Taneel,1
Terr Taneel,Giddean Danu,1
Giddean Danu,Bail Organa,2
Padme Amidala,Giddean Danu,2
Palpatine,Giddean Danu,1
Mace Windu,Luke Skywalker,2
Anakin Skywalker,Plo Koon,2
General Grievous,Plo Koon,2
Luke Skywalker,Plo Koon,1
Yoda,General Grievous,3
General Grievous,Luke Skywalker,1
Motee,Captain Typho,1
Motee,Padme Amidala,1
Motee,Anakin Skywalker,1
Darth Plagueis,Palpatine,1
Darth Plagueis,Anakin Skywalker,1
Darth Plagueis,Mas Amedda,1
Anakin Skywalker,Mas Amedda,2
Baron Papanoida,Mace Windu,1
Agen Kolar,Mace Windu,2
Baron Papanoida,Anakin Skywalker,1
Agen Kolar,Anakin Skywalker,1
Baron Papanoida,Plo Koon,1
Agen Kolar,Plo Koon,1
Yoda,Baron Papanoida,1
Yoda,Agen Kolar,1
Baron Papanoida,General Grievous,1
Agen Kolar,General Grievous,1
Obi-Wan Kenobi,Baron Papanoida,1
Obi-Wan Kenobi,Agen Kolar,1
Agen Kolar,Baron Papanoida,1
Yoda,Clone Commander Gree,2
Mon Mothma,Chi Eekway,1
Mon Mothma,Bana Breemu,1
Chi Eekway,Bana Breemu,1
Chi Eekway,Bail Organa,1
Fang Zar,Chi Eekway,1
Padme Amidala,Chi Eekway,1
Chi Eekway,Giddean Danu,1
Bana Breemu,Bail Organa,1
Fang Zar,Bana Breemu,1
Padme Amidala,Bana Breemu,1
Giddean Danu,Bana Breemu,1
Clone Commander Cody,Clone Troopers,2
Clone Commander Cody,Obi-Wan Kenobi,3
Clone Commander Cody,Anakin Skywalker,2
General Grievous,Bespin Guards,1
General Grievous,Mas Amedda,1
Tion Medon,Obi-Wan Kenobi,1
Tion Medon,General Grievous,2
Tion Medon,R4-G9,1
Obi-Wan Kenobi,R4-G9,1
General Grievous,R4-G9,1
Tion Medon,Bodyguard,1
Wrangler,Obi-Wan Kenobi,1
Passel Argente,General Grievous,1
Passel Argente,Rune Haako,1
Passel Argente,Obi-Wan Kenobi,1
Passel Argente,Palpatine,1
General Grievous,Rune Haako,1
General Grievous,Wat Tambor,1
General Grievous,Shu Mai,1
Nute Gunray,General Grievous,1
Rune Haako,Wat Tambor,3
Count Dooku,Rune Haako,1
Rune Haako,Shu Mai,3
Obi-Wan Kenobi,Wat Tambor,1
Palpatine,Wat Tambor,1
Obi-Wan Kenobi,Shu Mai,1
Palpatine,Shu Mai,1
Count Dooku,Bodyguard,1
Stormtrooper,General Grievous,2
Stormtrooper,Bodyguard,1
Stormtrooper,Clone Troopers,4
Clone Troopers,General Grievous,3
Clone Troopers,Bodyguard,1
Fang Zar,Anakin Skywalker,1
Sweitt Concorkill,Anakin Skywalker,1
Anakin Skywalker,Maledee,1
Fang Zar,Sweitt Concorkill,1
Fang Zar,Padme,1
Fang Zar,Maledee,1
Queen,Sweitt Concorkill,1
Queen,Maledee,1
Padme Amidala,Sweitt Concorkill,1
Padme,Sweitt Concorkill,1
Palpatine,Sweitt Concorkill,1
Sweitt Concorkill,Maledee,1
Padme Amidala,Maledee,1
Padme,Maledee,1
Palpatine,Maledee,1
Aayla Secura,Mace Windu,1
Aayla Secura,Anakin Skywalker,1
Clone Commander Cody,Aayla Secura,1
Yoda,Aayla Secura,1
Aayla Secura,Obi-Wan Kenobi,1
Clone Commander Cody,Mace Windu,1
Clone Commander Cody,Yoda,1
Mace Windu,Kit Fisto,2
Anakin Skywalker,Kit Fisto,1
Luke Skywalker,Kit Fisto,1
Palpatine,Kit Fisto,1
Agen Kolar,Kit Fisto,1
Darth Vader,Anakin Skywalker,13
Darth Vader,General Grievous,2
Padme Amidala,General Grievous,2
Darth Vader,Padme Amidala,4
Clone Commander Cody,Stormtrooper,1
Clone Commander Cody,Battle Droid,1
Clone Commander Cody,Palpatine,1
Clone Troopers,Palpatine,6
Stormtrooper,Clone Commander Bacara,1
Clone Commander Bacara,Clone Troopers,1
Clone Commander Bacara,Palpatine,1
Stormtrooper,Aayla Secura,1
Stormtrooper,Barriss Offee,1
Aayla Secura,Battle Droid,1
Clone Troopers,Aayla Secura,1
Aayla Secura,Barriss Offee,1
Battle Droid,Barriss Offee,1
Clone Troopers,Barriss Offee,1
Master Vos,Clone Troopers,1
Palpatine,Clone Pilot,1
Clone Troopers,Stass Allie,1
Clone Commander Gree,Palpatine,1
Clone Commander Gree,Chewbacca,1
Clone Commander Gree,Battle Droid,1
Clone Commander Gree,Tarfful,1
Clone Commander Gree,Clone Troopers,1
Chewbacca,Battle Droid,1
Chewbacca,Tarfful,3
Chewbacca,Yoda,4
Chewbacca,Clone Troopers,2
Battle Droid,Tarfful,1
Yoda,Tarfful,3
Clone Troopers,Tarfful,2
Anakin Skywalker,Shaak Ti,1
Clone Commander Appo,Clone Troopers,1
Clone Commander Appo,Zett Jukassa,1
Clone Commander Appo,Bail Organa,1
Clone Troopers,Zett Jukassa,1
Clone Troopers,Bail Organa,1
Zett Jukassa,Bail Organa,1
Chewbacca,Ponda Babba,1
Ponda Babba,Tarfful,1
Yoda,Ponda Babba,3
Clone Troopers,Ponda Babba,1
Royal Guards,Bespin Guards,1
Royal Guards,Bail Organa,1
Captain Antilles,Bail Organa,2
Captain Typho,C-3P0,2
Captain Typho,C-3PO,2
Rebel Pilot,Bail Organa,2
Yoda,Rebel Pilot,2
Rebel Pilot,Mas Amedda,1
Padme Amidala,Mas Amedda,1
Anakin Skywalker,Rune Haako,2
Battle Droid,Rune Haako,2
Battle Droid,Wat Tambor,2
Battle Droid,Shu Mai,2
Rune,Anakin Skywalker,1
Destroyer Droids,Rune Haako,1
Rune,Rune Haako,1
Destroyer Droids,Wat Tambor,1
Rune,Wat Tambor,1
Destroyer Droids,Rune,1
Destroyer Droids,Shu Mai,1
Destroyer Droids,Nute Gunray,1
Rune,Shu Mai,1
Darth Vader,Luke Skywalker,21
Darth Vader,Clone Commander Thire,1
Yoda,Clone Commander Thire,1
Palpatine,Clone Commander Thire,1
Clone Commander Thire,Mas Amedda,1
Worker Droid,Anakin Skywalker,1
Worker Droid,Battle Droid,1
Worker Droid,Palpatine,1
Worker Droid,Obi-Wan Kenobi,1
Qui-Gon Jinn,Bail Organa,1
Yoda,C-3P0,4
Yoda,C-3PO,4
Yoda,R2-D2,9
Yoda,Medical Droid,2
Medical Droid,R2-D2,2
Medical Droid,Obi-Wan Kenobi,2
Medical Droid,Battle Droid,4
Medical Droid,C-3P0,2
Medical Droid,C-3PO,2
Medical Droid,Bail Organa,2
Medical Droid,Padme Amidala,3
Yoda,Princess Leia,3
C-3P0,Princess Leia,42
C-3PO,Princess Leia,42
Bail Organa,Princess Leia,2
Medical Droid,Princess Leia,1
Medical Droid,Anakin Skywalker,1
Medical Droid,Darth Vader,1
Medical Droid,Palpatine,1
Darth Vader,Battle Droid,1
C-3P0,Captain Antilles,2
Captain Antilles,C-3PO,2
R2-D2,Captain Antilles,2
Darth Vader,Tarkin,8
Tarkin,Palpatine,1
Owen Lars,Obi-Wan Kenobi,3
Obi-Wan Kenobi,Beru Lars,3
Darth Vader,Imperial Officer,3
Darth Vader,Rebel Officer,1
Imperial Officer,Rebel Officer,1
Windy,Deak,1
Windy,Wormie,1
Windy,Luke Skywalker,1
Camie,Windy,1
Fixer,Windy,1
Windy,Biggs Darklighter,1
Deak,Wormie,1
Deak,Luke Skywalker,2
Camie,Deak,1
Fixer,Deak,2
Biggs Darklighter,Deak,2
Wormie,Luke Skywalker,1
Camie,Wormie,1
Fixer,Wormie,1
Biggs Darklighter,Wormie,1
Camie,Luke Skywalker,2
Fixer,Luke Skywalker,3
Biggs Darklighter,Luke Skywalker,15
Camie,Fixer,2
Camie,Biggs Darklighter,2
Fixer,Biggs Darklighter,3
Darth Vader,Rebel Trooper,2
Darth Vader,Princess Leia,10
Rebel Trooper,Princess Leia,2
Owen Lars,Deak,1
Owen Lars,Luke Skywalker,9
Fixer,Owen Lars,1
Biggs Darklighter,Owen Lars,3
C-3P0,Luke Skywalker,34
C-3P0,Jawa,1
C-3PO,Luke Skywalker,34
C-3PO,Jawa,1
Jawa,Luke Skywalker,2
Beru Lars,Luke Skywalker,5
R2-D2,Jawa,2
Owen Lars,Jawa,1
Beru Lars,Jawa,1
Biggs Darklighter,Princess Leia,3
Beru Lars,Princess Leia,1
Captain Antilles,Princess Leia,1
Luke Skywalker,Princess Leia,40
R2-D2,Biggs Darklighter,3
Biggs Darklighter,Obi-Wan Kenobi,3
Obi-Wan Kenobi,Captain Antilles,1
Biggs Darklighter,Beru Lars,2
C-3P0,Biggs Darklighter,4
Biggs Darklighter,Captain Antilles,1
Biggs Darklighter,C-3PO,4
Captain Antilles,Beru Lars,1
Captain Antilles,Luke Skywalker,1
Ben Quadrinaros,Luke Skywalker,32
Biggs Darklighter,Ben Quadrinaros,2
Owen Lars,Ben Quadrinaros,2
Obi-Wan Kenobi,Ben Quadrinaros,36
Beru Lars,Ben Quadrinaros,1
C-3P0,Tusken Raider,1
C-3PO,Tusken Raider,1
Tusken Raider,Luke Skywalker,2
C-3P0,Ben Quadrinaros,9
C-3PO,Ben Quadrinaros,9
Ben Quadrinaros,Princess Leia,6
Darth Vader,R2-D2,4
Darth Vader,C-3P0,4
Darth Vader,C-3PO,4
Darth Vader,Ben Quadrinaros,5
Darth Vader,Commander Tagge,1
Darth Vader,Admiral Motti,2
Commander Tagge,Admiral Motti,1
Commander Tagge,Tarkin,1
Tarkin,Admiral Motti,2
Jawa,Ben Quadrinaros,1
Tusken Raider,Ben Quadrinaros,1
Obi-Wan Kenobi,Jawa,1
Tusken Raider,Jawa,1
R2-D2,Tusken Raider,1
Obi-Wan Kenobi,Tusken Raider,1
Obi-Wan Kenobi,Doctor Evezan,1
C-3P0,Doctor Evezan,1
Bartender,Doctor Evezan,1
Ponda Babba,Doctor Evezan,1
C-3PO,Doctor Evezan,1
Ben Quadrinaros,Doctor Evezan,1
Luke Skywalker,Doctor Evezan,1
Obi-Wan Kenobi,Bartender,1
Obi-Wan Kenobi,Ponda Babba,2
C-3P0,Bartender,1
C-3P0,Ponda Babba,1
Bartender,Ponda Babba,1
Bartender,C-3PO,1
Bartender,Ben Quadrinaros,1
Bartender,Luke Skywalker,1
Ponda Babba,C-3PO,1
Ponda Babba,Ben Quadrinaros,2
Ponda Babba,Luke Skywalker,3
Chewbacca,Ben Quadrinaros,9
Chewbacca,Luke Skywalker,28
Chewbacca,Obi-Wan Kenobi,9
Chewbacca,Han Solo,46
Han Solo,Ben Quadrinaros,16
Han Solo,Luke Skywalker,49
Obi-Wan Kenobi,Han Solo,16
Jabba the Hutt,Greedo,1
Jabba the Hutt,Han Solo,3
Greedo,Han Solo,1
Tarkin,Imperial Officer,1
C-3P0,Han Solo,43
Han Solo,C-3PO,43
R2-D2,Han Solo,14
Admiral Motti,Princess Leia,1
Tarkin,Princess Leia,1
Chewbacca,R2-D2,11
Chewbacca,C-3P0,35
Chewbacca,C-3PO,35
Stormtrooper,Han Solo,2
Tarkin,Obi-Wan Kenobi,1
Chewbacca,Princess Leia,39
Han Solo,Princess Leia,57
Darth Vader,Han Solo,8
Wedge Antilles,General Dodonna,5
Wedge Antilles,Lando Calrissian,4
Wedge Antilles,Princess Leia,4
Wedge Antilles,Luke Skywalker,17
Wedge Antilles,Han Solo,3
General Dodonna,Lando Calrissian,2
General Dodonna,Princess Leia,3
General Dodonna,Luke Skywalker,4
Han Solo,General Dodonna,3
Lando Calrissian,Princess Leia,22
Lando Calrissian,Luke Skywalker,12
Han Solo,Lando Calrissian,19
Red Leader,General Dodonna,2
Red Leader,Princess Leia,3
Red Leader,R2-D2,2
Red Leader,Biggs Darklighter,4
Red Leader,Han Solo,2
Red Leader,C-3P0,3
Red Leader,C-3PO,3
Red Leader,Luke Skywalker,6
R2-D2,General Dodonna,1
Biggs Darklighter,General Dodonna,3
C-3P0,General Dodonna,1
C-3PO,General Dodonna,1
R2-D2,Wedge Antilles,3
Biggs Darklighter,Han Solo,2
Biggs Darklighter,Wedge Antilles,7
C-3P0,Wedge Antilles,4
Wedge Antilles,C-3PO,4
Red Seven,Biggs Darklighter,1
Red Nine,Porkins,1
Red Eleven,Luke Skywalker,1
Red Leader,Lando Calrissian,2
Darth Vader,Stormtrooper,1
Red Leader,Red Ten,1
Wedge Antilles,Red Ten,1
Luke Skywalker,Red Ten,2
Red Ten,Princess Leia,1
Biggs Darklighter,Lando Calrissian,2
Gold Five,Princess Leia,1
Gold Two,Luke Skywalker,1
Red Leader,Gold Five,1
Wedge Antilles,Gold Five,1
Tarkin,Rebel Trooper,1
Red Leader,Red Three,2
Biggs Darklighter,Red Three,2
Wedge Antilles,Red Three,2
Darth Vader,Red Ten,1
Darth Vader,Red Leader,2
Darth Vader,Wedge Antilles,2
Darth Vader,Biggs Darklighter,2
Chewbacca,General Dodonna,1
General Rieekan,Anakin Skywalker,1
General Rieekan,Luke Skywalker,2
General Rieekan,Princess Leia,4
General Rieekan,Han Solo,3
General Rieekan,Queen Jamillia,1
Han Solo,Anakin Skywalker,5
Queen Jamillia,Luke Skywalker,1
Han Solo,Queen Jamillia,1
Chewbacca,Anakin Skywalker,4
Major Derlin,Anakin Skywalker,1
Major Derlin,Princess Leia,2
R2-D2,Major Derlin,1
Chewbacca,Major Derlin,1
C-3P0,Major Derlin,1
Major Derlin,C-3PO,1
Major Derlin,Luke Skywalker,1
Han Solo,Zev,2
General Rieekan,C-3P0,1
General Rieekan,C-3PO,1
General Rieekan,Flight Controller,2
C-3P0,Flight Controller,3
C-3PO,Flight Controller,3
Luke Skywalker,Flight Controller,2
Flight Controller,Princess Leia,3
Han Solo,Flight Controller,3
Darth Vader,Admiral Ozzel,2
Darth Vader,Republic Captain,2
Darth Vader,Admiral Piett,8
Republic Captain,Admiral Ozzel,1
Admiral Piett,Admiral Ozzel,2
Republic Captain,Admiral Piett,2
Republic Captain,Rebel Trooper,2
Republic Captain,Rebel Officer,1
Rebel Trooper,Rebel Officer,1
Medical Droid,Luke Skywalker,1
Darth Vader,General Veers,2
Admiral Ozzel,General Veers,1
Admiral Piett,General Veers,1
Hobbie,Major Derlin,1
Hobbie,Princess Leia,1
Republic Captain,Flight Controller,2
Dack Ralter,Luke Skywalker,4
Hobbie,Luke Skywalker,2
Janson,Wedge Antilles,4
Luke Skywalker,Zev,2
Rebel Pilot,General Veers,1
R2-D2,Ponda Babba,1
Darth Vader,Captain Needa,4
Captain Needa,Admiral Piett,2
Yoda,Ben Quadrinaros,3
Destroyer Droids,Darth Vader,1
Zuckuss,Admiral Piett,1
Zuckuss,Flight Controller,1
Darth Vader,Zuckuss,1
Boba Fett,Zuckuss,1
Admiral Piett,Flight Controller,2
Boba Fett,Admiral Piett,2
Darth Vader,Flight Controller,2
Boba Fett,Flight Controller,2
Darth Vader,Boba Fett,6
Chewbacca,Lando Calrissian,19
C-3P0,Lando Calrissian,14
C-3PO,Lando Calrissian,14
Chewbacca,Lobot,2
Lobot,C-3P0,2
Lobot,Lando Calrissian,2
Lobot,C-3PO,2
Lobot,Princess Leia,2
Lobot,Han Solo,2
Yoda,Han Solo,2
Darth Vader,Lando Calrissian,8
Boba Fett,Han Solo,7
Boba Fett,Lando Calrissian,7
Anakin Skywalker,Lando Calrissian,5
Boba Fett,Princess Leia,5
Boba Fett,Luke Skywalker,4
Darth Vader,Chewbacca,4
Imperial Officer,Anakin Skywalker,1
Imperial Officer,Lando Calrissian,1
Imperial Officer,Princess Leia,1
Boba Fett,Imperial Officer,1
Imperial Officer,Han Solo,1
Chewbacca,Imperial Officer,1
C-3P0,Imperial Officer,1
Imperial Officer,C-3PO,1
Imperial Officer,Luke Skywalker,1
Chewbacca,Boba Fett,3
Boba Fett,C-3P0,3
Boba Fett,C-3PO,3
R2-D2,Lando Calrissian,5
Boba Fett,R2-D2,3
Green Leader,Oola,1
Green Leader,Princess Leia,1
Green Leader,Yoda,1
Green Leader,Boba Fett,1
Green Leader,Owen Lars,1
Green Leader,Bib Fortuna,1
Green Leader,Red Two,1
Green Leader,Chewbacca,1
Green Leader,Chief Chirpa,1
Green Leader,Rebel Pilot,1
Green Leader,Admiral Piett,1
Green Leader,Luke Skywalker,1
Green Leader,Anakin Skywalker,1
Green Leader,Lando Calrissian,1
Green Leader,General Madine,1
Green Leader,Darth Vader,1
Green Leader,R2-D2,1
Green Leader,Obi-Wan Kenobi,1
Green Leader,Admiral Ackbar,1
Green Leader,Mon Mothma,1
Green Leader,C-3PO,1
Green Leader,Ben Quadrinaros,1
Green Leader,Flight Controller,1
Green Leader,Teebo,1
Green Leader,Palpatine,1
Green Leader,Walker Pilot,1
Green Leader,Red Leader,1
Green Leader,Salacious Crumb,1
Green Leader,EV-9D9,1
Green Leader,Biggs Darklighter,1
Green Leader,Republic Captain,1
Green Leader,Nien Nunb,1
Green Leader,C-3P0,1
Green Leader,Bail Organa,1
Green Leader,Jabba the Hutt,1
Green Leader,Shuttle Captain,1
Green Leader,Ewoks,1
Green Leader,Logray,1
Green Leader,Red Three,1
Green Leader,Bespin Guards,1
Green Leader,Han Solo,1
Green Leader,Rebel Trooper,1
Green Leader,Wicket,1
Green Leader,Moff Jerjerrod,1
Green Leader,Wedge Antilles,1
Green Leader,Paploo,1
Oola,Princess Leia,1
Yoda,Oola,1
Boba Fett,Oola,1
Owen Lars,Oola,1
Bib Fortuna,Oola,1
Red Two,Oola,1
Chewbacca,Oola,1
Chief Chirpa,Oola,1
Rebel Pilot,Oola,1
Admiral Piett,Oola,1
Oola,Luke Skywalker,1
Oola,Anakin Skywalker,1
Oola,Lando Calrissian,1
General Madine,Oola,1
Darth Vader,Oola,1
R2-D2,Oola,1
Obi-Wan Kenobi,Oola,1
Admiral Ackbar,Oola,1
Mon Mothma,Oola,1
C-3PO,Oola,1
Oola,Ben Quadrinaros,1
Oola,Flight Controller,1
Teebo,Oola,1
Palpatine,Oola,1
Walker Pilot,Oola,1
Red Leader,Oola,1
Salacious Crumb,Oola,1
EV-9D9,Oola,1
Biggs Darklighter,Oola,1
Republic Captain,Oola,1
Nien Nunb,Oola,1
C-3P0,Oola,1
Oola,Bail Organa,1
Jabba the Hutt,Oola,1
Shuttle Captain,Oola,1
Oola,Ewoks,1
Logray,Oola,1
Red Three,Oola,1
Oola,Bespin Guards,1
Han Solo,Oola,1
Oola,Rebel Trooper,1
Oola,Wicket,1
Oola,Moff Jerjerrod,1
Wedge Antilles,Oola,1
Paploo,Oola,1
Owen Lars,Princess Leia,1
Bib Fortuna,Princess Leia,1
Red Two,Princess Leia,1
Chief Chirpa,Princess Leia,1
Admiral Piett,Princess Leia,1
General Madine,Princess Leia,1
Admiral Ackbar,Princess Leia,1
Mon Mothma,Princess Leia,1
Teebo,Princess Leia,1
Walker Pilot,Princess Leia,1
Salacious Crumb,Princess Leia,1
EV-9D9,Princess Leia,1
Republic Captain,Princess Leia,1
Nien Nunb,Princess Leia,1
Jabba the Hutt,Princess Leia,1
Shuttle Captain,Princess Leia,1
Ewoks,Princess Leia,1
Logray,Princess Leia,1
